"chrom" "V2" "V3" "counts"
"408" "Scaffold_819" "6000001" "7e+06" "10"
"409" "Scaffold_819" "7000001" "8e+06" "19"
"410" "Scaffold_819" "8000001" "9e+06" "13"
"411" "Scaffold_819" "9000001" "1e+07" "10"
"412" "Scaffold_819" "10000001" "1.1e+07" "10"
"413" "Scaffold_819" "11000001" "1.2e+07" "13"
"414" "Scaffold_819" "12000001" "1.3e+07" "10"
"415" "Scaffold_819" "13000001" "1.4e+07" "7"
"416" "Scaffold_819" "14000001" "1.5e+07" "5"
"417" "Scaffold_819" "15000001" "1.6e+07" "9"
"418" "Scaffold_819" "16000001" "1.7e+07" "35"
"419" "Scaffold_819" "17000001" "1.8e+07" "32"
"420" "Scaffold_819" "18000001" "1.9e+07" "35"
"421" "Scaffold_819" "19000001" "2e+07" "83"
"422" "Scaffold_819" "20000001" "2.1e+07" "105"
"423" "Scaffold_819" "21000001" "2.2e+07" "97"
"424" "Scaffold_819" "22000001" "2.3e+07" "125"
"425" "Scaffold_819" "23000001" "2.4e+07" "80"
"426" "Scaffold_15" "1" "1e+06" "80"
"427" "Scaffold_15" "1000001" "2e+06" "39"
"428" "Scaffold_15" "2000001" "3e+06" "51"
"429" "Scaffold_15" "3000001" "4e+06" "34"
"430" "Scaffold_15" "4000001" "5e+06" "19"
"431" "Scaffold_15" "5000001" "6e+06" "9"
"432" "Scaffold_15" "6000001" "7e+06" "7"
"433" "Scaffold_15" "7000001" "8e+06" "6"
"434" "Scaffold_15" "8000001" "9e+06" "15"
"435" "Scaffold_15" "9000001" "1e+07" "12"
"436" "Scaffold_15" "10000001" "1.1e+07" "14"
"437" "Scaffold_15" "11000001" "1.2e+07" "13"
"438" "Scaffold_15" "12000001" "1.3e+07" "12"
"439" "Scaffold_15" "13000001" "1.4e+07" "11"
"440" "Scaffold_15" "14000001" "1.5e+07" "20"
"441" "Scaffold_15" "15000001" "1.6e+07" "7"
"442" "Scaffold_15" "16000001" "1.7e+07" "14"
"443" "Scaffold_15" "17000001" "1.8e+07" "11"
"444" "Scaffold_15" "18000001" "1.9e+07" "38"
"445" "Scaffold_15" "19000001" "2e+07" "63"
"446" "Scaffold_15" "20000001" "2.1e+07" "77"
"447" "Scaffold_15" "21000001" "2.2e+07" "94"
"448" "Scaffold_15" "22000001" "2.3e+07" "125"
"449" "Scaffold_15" "23000001" "2.4e+07" "75"
"450" "Scaffold_2073" "1" "1e+06" "7"
"451" "Scaffold_2073" "1000001" "2e+06" "9"
"452" "Scaffold_2073" "2000001" "3e+06" "12"
"453" "Scaffold_2073" "3000001" "4e+06" "8"
"454" "Scaffold_2073" "4000001" "5e+06" "8"
"455" "Scaffold_2073" "5000001" "6e+06" "6"
"456" "Scaffold_2073" "6000001" "7e+06" "12"
"457" "Scaffold_2073" "7000001" "8e+06" "13"
"458" "Scaffold_2073" "8000001" "9e+06" "27"
"459" "Scaffold_2073" "9000001" "1e+07" "43"
"460" "Scaffold_2073" "10000001" "1.1e+07" "40"
"461" "Scaffold_2073" "11000001" "1.2e+07" "6"
"462" "Scaffold_2073" "12000001" "1.3e+07" "16"
"463" "Scaffold_2073" "13000001" "1.4e+07" "18"
"464" "Scaffold_2073" "14000001" "1.5e+07" "31"
"465" "Scaffold_2073" "15000001" "1.6e+07" "18"
"466" "Scaffold_2073" "16000001" "1.7e+07" "55"
"467" "Scaffold_2073" "17000001" "1.8e+07" "103"
"468" "Scaffold_2073" "18000001" "1.9e+07" "106"
"469" "Scaffold_2073" "19000001" "2e+07" "122"
"470" "Scaffold_2073" "20000001" "2.1e+07" "119"
"471" "Scaffold_2073" "21000001" "2.2e+07" "67"
"472" "Scaffold_2321" "1" "1e+06" "122"
"473" "Scaffold_2321" "1000001" "2e+06" "123"
"474" "Scaffold_2321" "2000001" "3e+06" "103"
"475" "Scaffold_2321" "3000001" "4e+06" "68"
"476" "Scaffold_2321" "4000001" "5e+06" "39"
"477" "Scaffold_2321" "5000001" "6e+06" "30"
"478" "Scaffold_2321" "6000001" "7e+06" "19"
"479" "Scaffold_2321" "7000001" "8e+06" "11"
"480" "Scaffold_2321" "8000001" "9e+06" "10"
"481" "Scaffold_2321" "9000001" "1e+07" "4"
